SELL,SELL_RSI,SELL_BBP,BUY,BUY_RSI,BUY_BBP
601177.SS,99.4,1.12,600418.SS,22.01,-0.14
000032.SZ,98.76,0.99,000333.SZ,22.49,0.0
002527.SZ,98.57,1.21,,,
600590.SS,97.98,1.18,,,
002065.SZ,96.65,1.05,,,
002896.SZ,95.23,1.08,,,
002522.SZ,95.23,1.3,,,
605488.SS,95.16,1.1,,,
002979.SZ,93.86,1.14,,,
002126.SZ,93.76,1.17,,,
002261.SZ,93.55,0.99,,,
300660.SZ,92.88,1.31,,,
300817.SZ,92.86,1.29,,,
000967.SZ,92.27,1.24,,,
600143.SS,91.82,1.18,,,
002929.SZ,91.12,1.05,,,
300718.SZ,90.04,1.03,,,
000887.SZ,89.48,1.06,,,
002334.SZ,88.89,1.25,,,
002594.SZ,88.77,0.94,,,
603259.SS,88.66,1.16,,,
600498.SS,88.48,1.0,,,
002343.SZ,88.22,1.26,,,
002371.SZ,88.14,1.02,,,
300738.SZ,87.96,1.29,,,
600835.SS,87.78,1.33,,,
300007.SZ,87.11,1.15,,,
300276.SZ,86.46,1.31,,,
002369.SZ,85.72,1.09,,,
000338.SZ,85.55,1.29,,,
300153.SZ,85.11,1.16,,,
603501.SS,85.07,0.95,,,
002335.SZ,84.95,1.05,,,
603728.SS,84.64,1.11,,,
603300.SS,84.55,0.93,,,
301202.SZ,84.46,1.23,,,
002272.SZ,84.17,1.13,,,
300115.SZ,83.87,1.06,,,
600602.SS,83.83,0.97,,,
300256.SZ,83.8,1.25,,,
000555.SZ,83.12,1.12,,,
002599.SZ,82.69,1.14,,,
603881.SS,82.66,0.97,,,
600276.SS,82.18,1.29,,,
600050.SS,82.11,1.0,,,
300017.SZ,80.75,0.93,,,
300249.SZ,80.67,0.98,,,
002273.SZ,80.45,1.1,,,
000988.SZ,80.31,1.16,,,
300002.SZ,79.91,0.99,,,
600198.SS,79.86,1.04,,,
300068.SZ,79.8,1.21,,,
300383.SZ,79.68,1.19,,,
603956.SS,79.08,0.94,,,
601728.SS,79.07,1.0,,,
688041.SS,78.46,1.29,,,
002426.SZ,78.38,1.08,,,
300124.SZ,78.02,0.95,,,
300657.SZ,77.87,1.02,,,
600797.SS,77.06,0.91,,,
600845.SS,77.05,1.01,,,
300245.SZ,77.03,1.14,,,
300442.SZ,76.57,1.19,,,
600756.SS,76.53,0.91,,,
688256.SS,75.94,1.23,,,
002474.SZ,75.63,1.01,,,
688347.SS,75.52,1.06,,,
002837.SZ,75.5,1.05,,,
002364.SZ,74.97,0.99,,,
300077.SZ,74.73,1.24,,,
301018.SZ,74.51,1.19,,,
600100.SS,74.49,0.95,,,
301165.SZ,74.37,1.27,,,
002600.SZ,74.27,0.9,,,
000938.SZ,74.07,1.04,,,
600589.SS,73.47,0.9,,,
002281.SZ,73.24,1.12,,,
603887.SS,72.77,1.04,,,
002518.SZ,72.75,1.11,,,
002475.SZ,72.37,0.96,,,
000815.SZ,72.22,0.93,,,
002347.SZ,72.05,0.98,,,
300750.SZ,71.87,0.95,,,
