SELL,SELL_RSI,SELL_BBP,BUY,BUY_RSI,BUY_BBP
VZ,93.7,1.08,XYZ,6.25,-0.2
T,91.76,0.94,UEC,12.45,-0.04
MDLZ,91.53,1.06,AMZN,13.52,-0.12
KVUE,87.83,1.0,CDE,13.63,-0.07
GILD,83.93,0.95,CDNS,13.85,-0.13
BTG,83.47,1.0,LOW,14.6,-0.04
JNJ,83.33,1.1,MARA,14.81,-0.07
PGR,81.09,0.98,UNH,14.85,-0.14
AMGN,79.49,1.01,VST,15.24,0.01
CELH,77.35,1.08,VRT,15.53,-0.08
TXN,76.02,0.96,NU,15.56,-0.1
NKE,75.78,0.95,IONQ,15.57,-0.01
U,75.7,0.98,CMG,15.87,-0.06
MELI,75.37,0.97,GEV,16.57,-0.13
WBD,72.5,0.98,ETN,16.6,-0.18
,,,RKLB,16.78,-0.16
,,,HD,16.84,-0.09
,,,CVNA,17.04,-0.05
,,,RDDT,17.14,0.03
,,,ANET,18.11,-0.09
,,,WMT,18.31,0.0
,,,ACN,18.35,-0.06
,,,CE,18.65,0.02
,,,SOUN,19.04,0.0
,,,CEG,19.27,-0.06
,,,CRM,19.35,0.06
,,,CNK,20.0,0.09
,,,BAC,20.27,-0.11
,,,MSTR,20.66,-0.23
,,,COIN,20.71,-0.12
,,,CLVT,20.71,0.09
,,,RIOT,20.82,-0.16
,,,HBAN,21.34,-0.08
,,,HBM,21.47,0.05
,,,MS,21.84,-0.16
,,,AAL,22.12,0.04
,,,QCOM,22.14,-0.25
,,,CLSK,22.25,-0.13
,,,ET,23.01,-0.13
,,,JPM,23.87,0.06
,,,SNOW,25.47,-0.12
,,,CSX,26.17,-0.09
,,,MRVL,27.0,-0.0
,,,VRN,27.63,0.06
,,,AMD,27.7,0.1
,,,ACHR,28.27,0.01
,,,RIG,28.57,0.01
,,,INTU,28.83,0.06
